trip_id,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,dropoff_census_tract,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location,pickup_census_tract,pickup_community_area,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location
ff0f0c15cf4142a8cba49489e8e9b9d7f9a35482,222a0a55fe5180e292a8e128804e081fa50b05a0329775f9344b50ee230f23d12635ee6a2429af764d01221057af04260089849cfb0192fa29bfda38362ffad6,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,1436.0,18.37,17031081403.0,8.0,45.25,7.46,0.0,4.0,57.21,Credit Card,Flash Cab,41.890922026,-87.618868355,"{'type': 'Point', 'coordinates': [-87.6188683546, 41.8909220259]}",,,,,
fc055c0a9931c4aa9e25e34fc33a06f15f022635,8b292c0373fed1bf25c7fd6402d9a41b5686f3527fc49cec4382719e657e9074fa2d10e7e17c25d61ed964a7d65222ef13f063fabc702f44cfa994102b1bcf20,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,1351.0,17.19,17031081800.0,8.0,42.25,7.09,0.0,4.5,54.34,Credit Card,Flash Cab,41.89321636,-87.63784421,"{'type': 'Point', 'coordinates': [-87.6378442095, 41.8932163595]}",17031980000.0,76.0,41.97907082,-87.903039661,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}"
fb5470db3139d8d5cb2129f607db20bb8d15f366,206b0dc07ac130c4a4d5e85e652f1f1f466b99a76e9aa732ca54ae4f3d4d7f1ad2ff297e698eaebaf920930da61368f0d8b55fea69c2e803976967e8c4a7a64a,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,1500.0,14.2,,6.0,36.25,8.15,0.0,4.0,48.9,Credit Card,Medallion Leasin,41.944226601,-87.655998182,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",,76.0,41.980264315,-87.913624596,"{'type': 'Point', 'coordinates': [-87.913624596, 41.9802643146]}"
f7b27f15d4b0d961f231ba2d9f45de958acc495f,451d7c5b2e7cb5e9d95308fe88262b5c32559a595b5aac5c759724d602fca61150bf5f236855e41c27b9a44968ee07baa1294f0d873cf0d955329a343fca9b97,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,1257.0,8.87,,,24.5,7.25,0.0,4.0,36.25,Credit Card,Chicago Carriage Cab Corp,,,,,56.0,41.79259236,-87.769615453,"{'type': 'Point', 'coordinates': [-87.7696154528, 41.7925923603]}"
f6e49a53ab4a52657e743ea8774d01c7991b9f52,4f4cae403660ec4c1e2e3b03128bd7a5af139619e3e513246c1a45c19a9d2a04bf8831972ebde690feedb335deba34acfba89ebada6a6101b1c1e32e58ba8e7a,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,300.0,0.0,,8.0,6.0,2.0,0.0,1.0,9.0,Credit Card,Taxi Affiliation Services,41.899602111,-87.633308037,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",,8.0,41.899602111,-87.633308037,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}"
f4930c020f3a0e01db8596818a0bb6bf1f53d206,ced3d3cb07284c38669bf0685770b160c7ad8a09b41644ef2d997f6fbe0d5e5186c79ea741db5eef1aa1ee21b0186416102b7dc44d7981fc761a20e3ff98dce6,2019-10-31T00:00:00.000,2019-10-31T00:00:00.000,60.0,0.0,17031980000.0,76.0,3.5,0.0,0.0,0.0,3.5,Cash,Chicago Medallion Management,41.97907082,-87.903039661,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}",17031980000.0,76.0,41.97907082,-87.903039661,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}"
f3d47fcd7e689d2417ca73b2d301eff05590c59d,285bd82de8221df52ae09a952244bb6777219fe49136f59bc9110d6309deb353b0dcfffb2b48d7d60a1d3bd32ebde3c90ead6ef94cbbc8f6ccc7e2eb26677b21,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,1508.0,12.82,,4.0,32.75,5.0,0.0,4.0,42.25,Credit Card,Sun Taxi,41.975170943,-87.687515515,"{'type': 'Point', 'coordinates': [-87.6875155152, 41.9751709433]}",,76.0,41.980264315,-87.913624596,"{'type': 'Point', 'coordinates': [-87.913624596, 41.9802643146]}"
f29130adcc833090193bdf1bc26d4258e4db3ecd,f55addae8ca796ec4b405f2aff2b703fa3e84d285bf4c15ffe84f53e6abd8c4acd7dacad001d0ed5d0bd1e011d748cdf531e486ba50cd50cbd6ad1dafb5705b1,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,420.0,0.0,,32.0,6.75,0.0,0.0,0.0,6.75,Cash,Taxi Affiliation Services,41.878865584,-87.625192142,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",,8.0,41.899602111,-87.633308037,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}"
f1d7b52a4ba4327e8185537df21c86103a5741e4,3a7abc9f1cdbcb82d1ea42811f112bdba8686471ce99615268c020eb9525445eee6acf5e7ab3a21a3a3544e29470db6f853213e33bb725247cba6fc0fc91d5e2,2019-10-31T00:00:00.000,2019-10-31T00:00:00.000,480.0,0.0,17031770700.0,,11.0,0.0,0.0,5.0,16.0,Cash,"Taxicab Insurance Agency, LLC",41.982775009,-87.8773054,"{'type': 'Point', 'coordinates': [-87.8773053996, 41.9827750091]}",17031980000.0,76.0,41.97907082,-87.903039661,"{'type': 'Point', 'coordinates': [-87.9030396611, 41.9790708201]}"
f0112c8c5c53d8c82b5c59af124b286db4b61926,e0bbc5ebabf1a48bc6b8dd0734576d956effcda6dd43887fdb86d018510f1ef79748423421436f2c4893f9da1b0a95302a6a12f02357fcb91a5b17703262ba17,2019-10-31T00:00:00.000,2019-10-31T00:15:00.000,1412.0,11.61,,,30.5,0.0,0.0,5.0,35.5,Cash,Nova Taxi Affiliation Llc,,,,,76.0,41.980264315,-87.913624596,"{'type': 'Point', 'coordinates': [-87.913624596, 41.9802643146]}"
